,unix,tusd_mcap
817,1592438400,143973029.78178117
818,1592524800,136500550.6894035
819,1592611200,139249562.48230895
820,1592697600,142379014.08046255
821,1592784000,144951308.39478704
822,1592870400,140444735.45181167
823,1592956800,138350806.94122505
824,1593043200,139210272.99712756
825,1593129600,141216316.54007146
826,1593216000,142665824.76280415
827,1593302400,141065910.7955579
828,1593388800,140255399.096672
829,1593475200,140009116.16160718
830,1593561600,141955760.58678448
831,1593648000,140915265.08388495
832,1593734400,141506982.37214524
833,1593820800,141505252.04881874
834,1593907200,140827651.46207678
835,1593993600,140543727.41771114
836,1594080000,140747566.61200285
837,1594166400,140179331.91253993
838,1594252800,137936791.18597826
839,1594339200,137053991.30541426
840,1594425600,137016817.0296131
841,1594512000,137763398.30296504
842,1594598400,136024232.9875145
843,1594684800,138114531.57248557
844,1594771200,136853553.0888491
845,1594857600,134466841.52487037
846,1594944000,133423522.99291675
847,1595030400,143462533.23889577
848,1595116800,172165193.16281685
849,1595203200,167163405.59495774
850,1595289600,174586767.99042994
851,1595376000,188818323.90096423
852,1595462400,222025898.81271997
853,1595548800,239941246.6698178
854,1595635200,239250022.61585665
855,1595721600,226826890.64533317
856,1595808000,183974948.713865
857,1595894400,184376508.38067874
858,1595980800,185631415.77449062
859,1596067200,195681901.79164106
860,1596153600,206360784.0617928
861,1596240000,217480763.57950157
862,1596326400,217605745.5420384
863,1596412800,205607907.5647048
864,1596499200,204062221.287038
865,1596585600,198522366.41004568
866,1596672000,199221643.92704356
867,1596758400,203602569.2226043
868,1596844800,209297598.46757656
869,1596931200,209608640.22549146
870,1597017600,200304912.1164947
871,1597104000,194133975.31896046
872,1597190400,195616824.13648024
873,1597276800,192542402.17346314
874,1597363200,253071263.5576539
875,1597449600,273516663.6956162
876,1597536000,289593612.54778624
877,1597622400,280946474.52613
878,1597708800,293657750.7115188
879,1597795200,301622845.4143246
880,1597881600,318602903.97447795
881,1597968000,331498712.49004096
882,1598054400,366756656.7789265
883,1598140800,382151970.69166476
884,1598227200,334859250.19454247
885,1598313600,376449738.34351987
886,1598400000,380979557.32691973
887,1598486400,349416363.8011933
888,1598572800,362540063.8432683
889,1598659200,383074319.2386984
890,1598745600,382351278.19472146
891,1598832000,337935022.32505125
892,1598918400,313743486.45178986
893,1599004800,314340613.519502
894,1599091200,311951935.9521493
895,1599177600,310748569.0996802
896,1599264000,366327228.7832653
897,1599350400,381186972.71041894
898,1599436800,395097507.48378694
